        Pin Assignment Report - Prepared - project_top
        ______________________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Build  405518 -- Date 2023-03-01 00:42

Design: vp_project - impl_1 - project_top
Device: AC7t1500
Generated on Mon May 15 11:07:14 PDT 2023
Host: simtool-5

Pin Assignment =======

   Port Name                            Direction  Pad/Macro                                                Placed  Device Port                 Pad/Macro Site                                                            Registered  Clock Domain                          Target Frequency (MHz) 
   ethernet_0_quad0_emac_enable[1]      IN         ethernet_0_quad0_emac_enable[1]_ipin                     Fixed   i_user_02_09_lut_18[2]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile18.sg.slc2.ipin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_enable[0]      IN         ethernet_0_quad0_emac_enable[0]_ipin                     Fixed   i_user_02_09_lut_18[1]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile18.sg.slc1.ipin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_pause_en[3]    IN         ethernet_0_quad0_emac_pause_en[3]_ipin                   Fixed   i_user_02_09_lut_17[23]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc23.ipin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_pause_en[2]    IN         ethernet_0_quad0_emac_pause_en[2]_ipin                   Fixed   i_user_02_09_lut_17[21]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc21.ipin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_pause_en[1]    IN         ethernet_0_quad0_emac_pause_en[1]_ipin                   Fixed   i_user_02_09_lut_17[20]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc20.ipin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_pause_en[0]    IN         ethernet_0_quad0_emac_pause_en[0]_ipin                   Fixed   i_user_02_09_lut_17[19]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc19.ipin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_pause_on[31]   IN         ethernet_0_quad0_emac_pause_on[31]_ipin                  Fixed   i_user_02_09_lut_17[13]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc13.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[30]   IN         ethernet_0_quad0_emac_pause_on[30]_ipin                  Fixed   i_user_02_09_lut_17[11]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc11.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[29]   IN         ethernet_0_quad0_emac_pause_on[29]_ipin                  Fixed   i_user_02_09_lut_17[10]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc10.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[28]   IN         ethernet_0_quad0_emac_pause_on[28]_ipin                  Fixed   i_user_02_09_lut_17[9]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc9.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
